TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;6,28;;-7,41;0,84;0,33;29,22;9,29;-10,61;8,47;13,70;5,37;0,53;0,79;34,13;-0,44;1,04;-11,36;-4,47;5,23;0,39;0,61;0,42;2,55;;1.123.253,11;7,46;-0,85;0,17;956.817.546,96
ABCB4;21,06;7,80;7,08;0,81;0,07;17,76;12,53;10,94;6,18;6,21;;;0,77;1,58;-0,08;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;9.158.544,05;26,07;2,98;-0,31;5.159.813.114,13
ABEV3;14,21;5,60;15,49;2,25;1,38;51,24;24,38;16,14;10,26;9,03;-1,21;-0,26;2,50;46,92;-2,06;1,10;14,50;8,88;16,66;0,61;0,39;0,55;11,20;4,15;468.666.346,89;6,32;0,92;-34,72;223.815.270.335,20
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,44;;-0,29;1,33;0,12;9,57;-48,87;-61,60;-0,37;-2,01;-1,63;5,85;0,18;-0,27;-0,21;0,51;-451,52;-39,45;-44,68;0,09;0,91;0,64;12,70;;1.598.789,58;3,33;-15,04;0,00;275.192.468,28
AESB3;8,12;;-16,58;1,10;0,35;24,16;18,29;-10,85;9,83;22,96;13,13;1,47;1,80;-7,33;-0,41;0,77;-6,66;-2,10;3,88;0,32;0,68;0,19;;;3.601.182,63;7,36;-0,49;0,04;6.973.842.690,64
AFLT3;6,77;7,97;18,90;1,73;1,36;58,08;53,92;41,22;14,45;13,74;-0,72;-0,09;7,79;14,95;-1,80;1,59;9,13;7,19;8,69;0,79;0,21;0,17;14,85;-0,02;2.045,11;3,92;0,36;-1,04;427.083.419,00
AGRO3;21,47;7,24;7,86;1,01;0,61;39,35;28,63;22,21;6,10;8,46;2,35;0,39;1,75;3,85;-0,88;2,09;12,87;7,78;9,60;0,60;0,40;0,35;13,78;9,64;4.088.322,21;21,23;2,73;1,22;2.205.640.377,12
AGXY3;0,49;;-0,04;-0,07;0,03;-1,34;-42,80;-64,96;-0,06;-0,60;-0,54;;0,03;-0,04;-0,07;0,35;-171,64;-82,34;1.057,12;-0,48;1,48;1,27;24,29;;263.211,58;-6,86;-11,77;0,00;122.180.916,48
AHEB3;45,00;;2,69;2,40;0,75;28,07;22,41;20,02;2,40;1,98;-0,43;-0,43;0,54;1,90;-1,87;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;2.605,26;18,75;16,75;0,06;385.835.400,00
AHEB5;50,00;;2,99;2,67;0,83;28,07;22,41;20,02;2,67;1,98;-0,43;-0,43;0,60;2,11;-2,08;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;0,00;18,75;16,75;0,06;385.835.400,00
AHEB6;55,00;;3,28;2,93;0,91;28,07;22,41;20,02;2,93;1,98;-0,43;-0,43;0,66;2,32;-2,28;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;289,47;18,75;16,75;0,07;385.835.400,00
ALLD3;7,05;18,37;4,58;0,42;0,19;11,91;3,42;2,64;3,53;3,95;0,41;0,05;0,12;0,60;-0,65;1,83;9,16;4,18;6,89;0,46;0,54;1,59;8,27;7,66;354.538,11;16,83;1,54;0,24;666.563.609,54
ALOS3;21,07;9,08;16,38;0,81;0,42;73,76;53,04;25,49;7,87;5,61;-2,32;-0,24;4,18;5,70;-0,50;1,89;4,94;2,56;9,88;0,52;0,48;0,10;29,82;99,64;71.463.050,26;26,03;1,29;-0,21;11.439.680.672,63
ALPA3;7,22;1,34;45,67;1,22;0,72;43,15;1,25;2,63;96,25;95,66;-1,27;-0,02;1,20;2,34;-1,46;2,56;2,68;1,58;0,13;0,59;0,41;0,60;2,05;-17,00;56.876,26;5,91;0,16;-0,43;4.962.628.880,81
ALPA4;7,30;1,46;46,18;1,24;0,73;43,15;1,25;2,63;97,32;95,66;-1,27;-0,02;1,21;2,36;-1,48;2,56;2,68;1,58;0,13;0,59;0,41;0,60;2,05;-17,00;11.311.592,58;5,91;0,16;-0,44;4.962.628.880,81
ALPK3;2,86;;-38,67;1,70;0,25;33,49;13,31;-1,01;2,92;8,82;5,90;3,43;0,39;-3,09;-0,30;0,69;-4,39;-0,64;11,30;0,14;0,86;0,63;7,96;;207.247,05;1,67;-0,07;0,49;616.348.231,00
ALUP11;30,11;2,89;9,14;0,85;0,32;72,64;72,28;27,14;3,43;6,62;3,18;0,78;2,48;3,11;-0,41;2,04;9,26;3,54;11,50;0,38;0,62;0,13;-2,71;4,06;27.796.573,63;35,57;3,29;0,16;9.928.361.234,04
ALUP3;10,36;2,80;9,43;0,87;0,33;72,64;72,28;27,14;3,54;6,62;3,18;0,78;2,56;3,21;-0,42;2,04;9,26;3,54;11,50;0,38;0,62;0,13;-2,71;4,06;86.010,32;11,86;1,10;0,17;9.928.361.234,04
ALUP4;9,85;2,94;8,97;0,83;0,32;72,64;72,28;27,14;3,37;6,62;3,18;0,78;2,43;3,05;-0,40;2,04;9,26;3,54;11,50;0,38;0,62;0,13;-2,71;4,06;160.611,74;11,86;1,10;0,16;9.928.361.234,04
AMAR3;1,37;;-2,26;2,51;0,37;49,10;-3,13;-22,68;-16,39;-28,49;-12,57;1,92;0,51;-2,31;-0,54;0,65;-110,95;-16,58;-6,25;0,15;0,85;0,73;-13,55;;750.701,00;0,55;-0,62;0,06;713.703.899,77
AMBP3;137,91;;-80,47;8,47;1,58;19,56;18,28;-4,49;19,75;24,10;4,22;1,81;3,61;5,65;-2,75;2,91;-10,53;-1,96;9,39;0,19;0,81;0,44;67,64;;8.166.567,11;16,36;-1,72;-0,20;23.148.662.206,02
AMER3;5,73;;0,14;0,23;0,07;32,25;4,53;57,71;1,76;2,73;0,97;0,13;0,08;0,42;-0,11;1,62;166,62;47,41;-60,23;0,28;0,72;0,82;16,22;;23.253.930,79;24,82;41,35;0,00;1.145.397.378,84
AMOB3;0,25;;;;;;;;;;;;;;;;;;;;;;;;1.816.443,95;;;;0,00
ANIM3;3,08;17,04;14,61;0,45;0,13;61,86;21,57;2,24;1,52;6,49;4,95;1,46;0,33;1,11;-0,16;2,16;3,06;0,88;9,91;0,29;0,71;0,39;26,33;;29.907.137,74;6,88;0,21;-0,12;1.243.915.919,40
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;13.464,74;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;22,22;0,07;0,01;0,01;100,00;107,18;133,74;0,09;-0,05;-0,97;-0,15;0,10;0,02;-0,01;6,54;19,97;10,08;11,22;0,50;0,50;0,08;-2,98;;;13.788,49;2.753,05;0,00;37.417.457,40
APTI4;2.930,92;1,65;1,06;0,21;0,11;100,00;107,18;133,74;1,33;-0,05;-0,97;-0,15;1,42;0,27;-0,20;6,54;19,97;10,08;11,22;0,50;0,50;0,08;-2,98;;0,00;13.788,49;2.753,05;0,00;37.417.457,40
ARML3;4,43;7,15;9,02;1,17;0,33;40,47;29,62;9,64;2,93;6,51;3,51;1,40;0,87;2,12;-0,47;2,13;12,98;3,67;12,48;0,28;0,72;0,38;95,79;79,38;7.371.883,79;3,78;0,49;2,13;1.534.968.849,71
ASAI3;9,25;1,16;19,69;2,51;0,29;16,48;5,12;0,88;3,39;6,82;3,41;2,52;0,17;-5,11;-0,44;0,86;12,73;1,45;16,71;0,11;0,89;1,64;;;94.833.025,89;3,69;0,47;-0,88;12.535.312.864,95
ATMP3;1,26;;-0,24;0,23;0,03;10,67;-14,31;-37,86;-0,63;-3,50;-2,86;1,02;0,09;-0,15;-0,04;0,41;-94,30;-12,73;-14,38;0,14;0,86;0,34;-15,50;;11.695,74;5,59;-5,27;0,00;33.655.048,56
